dataset,embedding,clf,coverage,negative_protocol,test_pos_cosine_mean,test_neg_cosine_mean,test_cosine_delta,test_pos_l2_mean,test_neg_l2_mean,test_l2_delta,auroc,auprc,random_auprc_baseline,test_positive_ratio,test_negative_to_positive_ratio,auprc_lift,auprc_gain,precision_at_k,recall_at_k,f1,specificity,delta_auprc_vs_baseline,lift_ratio_vs_baseline,delta_precision_at_k_vs_baseline,delta_recall_at_k_vs_baseline
hESC_Specific_1000,v4_plain_best,lr,893/1000,tf_stratified_1to10,0.0270776357501745,0.0060153291560709,0.0210623065941035,1.5976769924163818,1.5851917266845703,-0.0124852657318115,0.707154043414902,0.47268592993444,0.2865090403337969,0.2865090403337969,2.4902912621359223,1.6498115709847687,0.1861768896006431,0.4733009708737864,0.4733009708737864,0.4370677731673582,0.8508771929824561,0.010846293165428456,1.0234849768229253,0.016990291262135915,0.016990291262135915
hESC_Specific_1000,v4_plain_best,mlp,893/1000,tf_stratified_1to10,0.0270776357501745,0.0060153291560709,0.0210623065941035,1.5976769924163818,1.5851917266845703,-0.0124852657318115,0.7168864380476542,0.486984955147732,0.2865090403337969,0.2865090403337969,2.4902912621359223,1.699719333743783,0.2004759148139351,0.4830097087378641,0.4830097087378641,0.4079754601226993,0.8957115009746589,-0.018154801445681046,0.9640598444119419,-0.00970873786407761,-0.00970873786407761
hESC_Specific_1000,v4_type_pe_best,lr,893/1000,tf_stratified_1to10,0.0387782528996467,0.0135931009426712,0.0251851519569754,1.581969141960144,1.5734950304031372,-0.0084741115570068,0.7034564904710536,0.4593305851468899,0.2865090403337969,0.2865090403337969,2.4902912621359223,1.6031975277699702,0.172821544813093,0.4635922330097087,0.4635922330097087,0.407202216066482,0.8411306042884991,-0.0025090516221216164,0.9945672665956635,0.007281553398058194,0.007281553398058194
hESC_Specific_1000,v4_type_pe_best,mlp,893/1000,tf_stratified_1to10,0.0387782528996467,0.0135931009426712,0.0251851519569754,1.581969141960144,1.5734950304031372,-0.0084741115570068,0.7197701981490945,0.5002104823074912,0.2865090403337969,0.2865090403337969,2.4902912621359223,1.745880275626632,0.2137014419736942,0.4878640776699029,0.4878640776699029,0.4151515151515151,0.8918128654970761,-0.004929274285921825,0.9902417613708252,-0.004854368932038777,-0.004854368932038777
hESC_Specific_1000,scconcept,lr,893/1000,tf_stratified_1to10,0.0060800118371844,0.0026990817859768,0.0033809300512075,31.80897331237793,30.733423233032227,-1.0755500793457031,0.6357768409697382,0.3939383177176595,0.2865090403337969,0.2865090403337969,2.4902912621359223,1.374959468150472,0.1074292773838626,0.4174757281553398,0.4174757281553398,0.4133663366336633,0.776803118908382,-0.067901319051352,0.8529764150899142,-0.03883495145631072,-0.03883495145631072
hESC_Specific_1000,scconcept,mlp,893/1000,tf_stratified_1to10,0.0060800118371844,0.0026990817859768,0.0033809300512075,31.80897331237793,30.733423233032227,-1.0755500793457031,0.6141096065406234,0.3835966697342644,0.2865090403337969,0.2865090403337969,2.4902912621359223,1.3388641045579421,0.0970876294004675,0.3834951456310679,0.3834951456310679,0.3142437591776799,0.8421052631578947,-0.12154308685914866,0.7593872086433721,-0.1092233009708738,-0.1092233009708738
hESC_Specific_1000,scconcept_encoded,lr,893/1000,tf_stratified_1to10,0.0549659356474876,0.0626298487186431,-0.0076639130711555,28.79084014892578,27.546310424804688,-1.2445297241210938,0.6662798784988362,0.4255599092045848,0.2865090403337969,0.2865090403337969,2.4902912621359223,1.485328032612119,0.1390508688707879,0.4393203883495146,0.4393203883495146,0.423469387755102,0.7992202729044834,-0.03627972756442671,0.9214451842673436,-0.016990291262135915,-0.016990291262135915
hESC_Specific_1000,scconcept_encoded,mlp,893/1000,tf_stratified_1to10,0.0549659356474876,0.0626298487186431,-0.0076639130711555,28.79084014892578,27.546310424804688,-1.2445297241210938,0.6480641666193532,0.3858659114282661,0.2865090403337969,0.2865090403337969,2.4902912621359223,1.3467844190141909,0.0993568710944691,0.4029126213592233,0.4029126213592233,0.3122238586156112,0.8430799220272904,-0.11927384516514694,0.7638795133261497,-0.0898058252427184,-0.0898058252427184
hESC_Specific_1000,cl_scratch_v5,lr,893/1000,tf_stratified_1to10,0.0280963014811277,0.007430175319314,0.0206661261618137,1.5966615676879885,1.583369255065918,-0.0132923126220703,0.6886402562501184,0.4475176494865493,0.2865090403337969,0.2865090403337969,2.4902912621359223,1.5619669416545097,0.1610086091527524,0.441747572815534,0.441747572815534,0.4,0.8362573099415205,-0.0143219872824622,0.9689892634970495,-0.014563106796116498,-0.014563106796116498
hESC_Specific_1000,cl_scratch_v5,mlp,893/1000,tf_stratified_1to10,0.0280963014811277,0.007430175319314,0.0206661261618137,1.5966615676879885,1.583369255065918,-0.0132923126220703,0.7097184371392343,0.4608577189131603,0.2865090403337969,0.2865090403337969,2.4902912621359223,1.6085276694104964,0.1743486785793633,0.4805825242718446,0.4805825242718446,0.3806646525679758,0.8791423001949318,-0.04428203768025274,0.9123370570178753,-0.012135922330097082,-0.012135922330097082
hESC_Specific_1000,minus,lr,893/1000,full_candidate,0.0241268798708915,0.0057327821850776,0.0183940976858139,0.8159213662147522,0.816137433052063,0.0002160668373107,0.8451871486969852,0.4355261894501913,0.1622047244094488,0.1622047244094488,5.165048543689321,2.685040100008461,0.2733214650407425,0.4538834951456311,0.4538834951456311,0.3934426229508196,0.9172932330827068,-0.031393054530684195,0.9327655586370092,-0.014563106796116498,-0.014563106796116498
hESC_Specific_1000,minus,mlp,893/1000,full_candidate,0.0241268798708915,0.0057327821850776,0.0183940976858139,0.8159213662147522,0.816137433052063,0.0002160668373107,0.8387228310460618,0.4429402454884191,0.1622047244094488,0.1622047244094488,5.165048543689321,2.7307481153897686,0.2807355210789702,0.4975728155339806,0.4975728155339806,0.4075691411935953,0.93656015037594,-0.0074283853691565205,0.9835059885165367,0.024271844660194164,0.024271844660194164
hESC_Specific_1000,baseline,lr,893/1000,full_candidate,0.0317745208740234,0.0092350337654352,0.0225394871085882,0.8531295657157898,0.8764384388923645,0.0233088731765747,0.8554279737572085,0.4669192439808755,0.1622047244094488,0.1622047244094488,5.165048543689321,2.878579805124815,0.3047145195714266,0.4684466019417476,0.4684466019417476,0.4131994261119082,0.9337406015037594,0.0,1.0,0.0,0.0
hESC_Specific_1000,baseline,mlp,893/1000,full_candidate,0.0317745208740234,0.0092350337654352,0.0225394871085882,0.8531295657157898,0.8764384388923645,0.0233088731765747,0.8541961320169356,0.4503686308575756,0.1622047244094488,0.1622047244094488,5.165048543689321,2.77654447179185,0.2881639064481268,0.4733009708737864,0.4733009708737864,0.3074433656957929,0.9478383458646616,0.0,1.0,0.0,0.0
