task,source_file,setting,embedding,baseline,primary_metric,secondary_metric,primary_value,primary_baseline,primary_delta,secondary_value,secondary_baseline,secondary_delta,failure_type
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-GM;test_dataset=mDC;protocol=coverage_matched;clf=lr;n=5,v4_plain_best,baseline,mean_auroc,mean_auprc,0.462461,0.3086194,0.15384160000000002,0.4721716,0.5587156,-0.08654399999999995,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_seed_results_v2.csv,train_dataset=mHSC-GM;test_dataset=hESC;direction=mHSC-GM->hESC;protocol=strict;clf=lr;seed=0;n_common_genes=2845;retained_fraction=0.5974380512389752;n_train_edges=1902;n_test_edges=103;oov_train_count=50;oov_test_count=49;oov_train_rate=0.0175746924428822;oov_test_rate=0.0172231985940246;oov_policy=mean_embedding,scconcept_encoded,baseline,auroc,auprc,0.631579,0.594737,0.03684200000000004,0.434279,0.517205,-0.082926,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-E;protocol=topology_matched;clf=mlp;n=5,cl_scratch_v5,baseline,mean_auroc,mean_auprc,0.8172866,0.788055,0.029231600000000024,0.75437,0.8372120000000001,-0.08284200000000008,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-L;protocol=topology_matched;clf=mlp;n=5,cl_v6_fair,baseline,mean_auroc,mean_auprc,0.6198208000000001,0.5922566,0.02756420000000004,0.4025816,0.4835358,-0.08095420000000003,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_seed_results_v2.csv,train_dataset=mHSC-GM;test_dataset=hESC;direction=mHSC-GM->hESC;protocol=strict;clf=lr;seed=4;n_common_genes=2845;retained_fraction=0.5974380512389752;n_train_edges=1902;n_test_edges=103;oov_train_count=50;oov_test_count=49;oov_train_rate=0.0175746924428822;oov_test_rate=0.0172231985940246;oov_policy=mean_embedding,scconcept_encoded,baseline,auroc,auprc,0.615385,0.597976,0.017409000000000008,0.453883,0.530236,-0.07635300000000006,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-L;protocol=topology_matched;clf=lr;n=5,v4_plain_best,baseline,mean_auroc,mean_auprc,0.647265,0.6338824,0.013382600000000022,0.48667299999999997,0.5627688,-0.07609579999999999,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mESC;test_dataset=mHSC-L;protocol=topology_matched;clf=mlp;n=5,scGPT_human,baseline,mean_auroc,mean_auprc,0.46761379999999997,0.4466666,0.020947199999999944,0.3166722,0.3881476,-0.07147539999999997,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-E;test_dataset=mDC;protocol=coverage_matched;clf=lr;n=5,cl_v6_fair,baseline,mean_auroc,mean_auprc,0.6397404,0.4936012,0.14613919999999997,0.517986,0.5893322,-0.07134620000000003,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-E;test_dataset=hHep;protocol=coverage_matched;clf=mlp;n=5,scGPT_human,baseline,mean_auroc,mean_auprc,0.743906,0.6842050000000001,0.05970099999999989,0.7326162,0.8025052,-0.06988899999999998,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mDC;test_dataset=mESC;protocol=coverage_matched;clf=mlp;n=5,scconcept_encoded,baseline,mean_auroc,mean_auprc,0.5014448,0.4873948,0.014050000000000007,0.4046632,0.4739192,-0.06925599999999998,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mESC;protocol=coverage_matched;clf=mlp;n=5,v4_type_pe_best,baseline,mean_auroc,mean_auprc,0.516605,0.482281,0.034323999999999966,0.48991619999999997,0.5566588,-0.06674260000000004,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_seed_results_v2.csv,train_dataset=mHSC-GM;test_dataset=hESC;direction=mHSC-GM->hESC;protocol=strict;clf=lr;seed=3;n_common_genes=2845;retained_fraction=0.5974380512389752;n_train_edges=1902;n_test_edges=103;oov_train_count=50;oov_test_count=49;oov_train_rate=0.0175746924428822;oov_test_rate=0.0172231985940246;oov_policy=mean_embedding,scconcept_encoded,baseline,auroc,auprc,0.651417,0.640081,0.011336000000000013,0.478765,0.545169,-0.06640400000000002,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hESC;test_dataset=mDC;protocol=coverage_matched;clf=mlp;n=5,scGPT_human,baseline,mean_auroc,mean_auprc,0.5083192,0.4577372,0.05058199999999996,0.4956892,0.5614106,-0.06572139999999999,AUROC improves but AUPRC drops
