dataset,negative_protocol,embedding,clf,test_positive_ratio,test_n_positive,test_negative_to_positive_ratio,auprc,random_auprc_baseline,auprc_lift_over_random,flags,source_file
hESC_STRING_500,full_candidate,scGPT_human,mlp,0.0115232265034209,32.0,85.78125,0.3695264703013813,0.0115232265034209,32.067969000841906,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,v4_bias_rec_best,lr,0.0115232265034209,32.0,85.78125,0.2261202914651311,0.0115232265034209,19.623001543708508,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,v4_bias_rec_best,mlp,0.0115232265034209,32.0,85.78125,0.0426382581483718,0.0115232265034209,3.700201339938409,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,v4_plain_best,lr,0.0115232265034209,32.0,85.78125,0.2433053598039071,0.0115232265034209,21.114343255482922,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,v4_plain_best,mlp,0.0115232265034209,32.0,85.78125,0.0870248996478697,0.0115232265034209,7.552129572566731,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,v4_type_pe_best,lr,0.0115232265034209,32.0,85.78125,0.2671791957402859,0.0115232265034209,23.186144580336805,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,v4_type_pe_best,mlp,0.0115232265034209,32.0,85.78125,0.0391914791750878,0.0115232265034209,3.401085552163105,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,scconcept,lr,0.0115232265034209,32.0,85.78125,0.242003867296854,0.0115232265034209,21.001398108855216,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,scconcept,mlp,0.0115232265034209,32.0,85.78125,0.0568004037076458,0.0115232265034209,4.9292100342541625,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,scconcept_encoded,lr,0.0115232265034209,32.0,85.78125,0.1092840972333622,0.0115232265034209,9.483810563032762,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,scconcept_encoded,mlp,0.0115232265034209,32.0,85.78125,0.0547411954201456,0.0115232265034209,4.750509365054534,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
