dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
mHSC-E500->mHSC-L500,scconcept,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6549572981753315,0.760608156711016
mHSC-E500->mHSC-L500,scconcept_encoded,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.5620895492640537,0.6480972953797358
mHSC-E500->mHSC-L500,scconcept_encoded,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.5883285001046369,0.7342130221643134
mHSC-E500->mHSC-L500,cl_scratch_v5,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.611587790367425,0.6828514275242691
mHSC-E500->mHSC-L500,cl_scratch_v5,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.694629635165974,0.7618652810931377
mHSC-GM500->hHep500,minus,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,0.0,0.5
mHSC-GM500->hHep500,minus,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,0.0,0.5
mHSC-GM500->hHep500,baseline,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,baseline,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,scGPT_human,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,scGPT_human,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,v4_bias_rec_best,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,v4_bias_rec_best,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,v4_plain_best,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,v4_plain_best,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,v4_type_pe_best,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,0.0,0.5
mHSC-GM500->hHep500,v4_type_pe_best,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,scconcept,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,scconcept,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,0.0,0.5
mHSC-GM500->hHep500,scconcept_encoded,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,scconcept_encoded,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,0.0,0.5
mHSC-GM500->hHep500,cl_scratch_v5,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,cl_scratch_v5,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,0.0,0.5
mHSC-GM500->mHSC-E500,minus,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6895255379828883,0.7809209625416202
mHSC-GM500->mHSC-E500,minus,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7371013741249676,0.8256617821409381
mHSC-GM500->mHSC-E500,baseline,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6741854636591479,0.7694617802757959
mHSC-GM500->mHSC-E500,baseline,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7495894909688013,0.8309937831832287
mHSC-GM500->mHSC-E500,scGPT_human,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6165629591219428,0.7136148216067335
mHSC-GM500->mHSC-E500,scGPT_human,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7380520266182697,0.8343995512301818
mHSC-GM500->mHSC-E500,v4_bias_rec_best,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6553452597009767,0.7534543117728185
mHSC-GM500->mHSC-E500,v4_bias_rec_best,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7618615504277937,0.842992162997295
mHSC-GM500->mHSC-E500,v4_plain_best,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6637931034482759,0.7382898803701798
mHSC-GM500->mHSC-E500,v4_plain_best,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.707976838648345,0.7962708290904889
mHSC-GM500->mHSC-E500,v4_type_pe_best,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.5952597009765793,0.6776233550687614
mHSC-GM500->mHSC-E500,v4_type_pe_best,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7260608417595713,0.832341919835862
mHSC-GM500->mHSC-E500,scconcept,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.7051464869069226,0.7908892864613187
mHSC-GM500->mHSC-E500,scconcept,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.760997320888428,0.8193138672369116
mHSC-GM500->mHSC-E500,scconcept_encoded,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6478264627084953,0.7274865208753059
mHSC-GM500->mHSC-E500,scconcept_encoded,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.6396162820845217,0.7728547178273254
mHSC-GM500->mHSC-E500,cl_scratch_v5,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6209921355111918,0.7118113919009983
mHSC-GM500->mHSC-E500,cl_scratch_v5,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7255206982974679,0.8249409967152244
mHSC-GM500->mHSC-L500,minus,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7133646247521102,0.7834977179250386
mHSC-GM500->mHSC-L500,minus,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.8188685262140372,0.874165958107406
mHSC-GM500->mHSC-L500,baseline,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7364644682950163,0.7870683499276638
mHSC-GM500->mHSC-L500,baseline,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.7749708511465214,0.8397986218099671
mHSC-GM500->mHSC-L500,scGPT_human,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7537345411422364,0.7896709333622696
mHSC-GM500->mHSC-L500,scGPT_human,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.8218581522118249,0.8709863318116099
mHSC-GM500->mHSC-L500,v4_bias_rec_best,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.6988549732428475,0.7630500620023942
mHSC-GM500->mHSC-L500,v4_bias_rec_best,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.8060729269435061,0.8632655605062645
mHSC-GM500->mHSC-L500,v4_plain_best,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7469480901272584,0.8024409367249663
mHSC-GM500->mHSC-L500,v4_plain_best,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.8035118140054014,0.863135500259689
